Country_code,Region_name,Country,Country (CN),IATA,Airport,Latitude,Longitude
AE,Abu Zaby,United Arab Emirates (UAE),阿拉伯聯合大公國,AAN,Al Ain International ,24.2617,55.6092
AE,Abu Zaby,United Arab Emirates (UAE),阿拉伯聯合大公國,AUH,Abu Dhabi International ,24.433,54.6511
AE,Abu Zaby,United Arab Emirates (UAE),阿拉伯聯合大公國,AYM,Yas Island Seaplane Base,24.467,54.6103
AE,Abu Zaby,United Arab Emirates (UAE),阿拉伯聯合大公國,AZI,Al Bateen Executive ,24.4283,54.4581
AE,Abu Zaby,United Arab Emirates (UAE),阿拉伯聯合大公國,DHF,Al Dhafra Air Base,24.2482,54.5477
AE,Abu Zaby,United Arab Emirates (UAE),阿拉伯聯合大公國,XSB,Sir Bani Yas ,24.2836,52.5803
AE,Abu Zaby,United Arab Emirates (UAE),阿拉伯聯合大公國,ZDY,Dalma ,24.51,52.3352
AE,Al Fujayrah,United Arab Emirates (UAE),阿拉伯聯合大公國,FJR,Fujairah International ,25.1122,56.324
AE,Ash Shariqah,United Arab Emirates (UAE),阿拉伯聯合大公國,SHJ,Sharjah International ,25.3286,55.5172
AE,Dubayy,United Arab Emirates (UAE),阿拉伯聯合大公國,DCG,Dubai Creek Seaplane Base,25.2422,55.3314
AE,Dubayy,United Arab Emirates (UAE),阿拉伯聯合大公國,DJH,Jebel Ali Seaplane Base,24.989,55.0238
AE,Dubayy,United Arab Emirates (UAE),阿拉伯聯合大公國,DWC,Al Maktoum International ,24.8964,55.1614
AE,Dubayy,United Arab Emirates (UAE),阿拉伯聯合大公國,DXB,Dubai International ,25.2528,55.3644
AE,Dubayy,United Arab Emirates (UAE),阿拉伯聯合大公國,NHD,Al Minhad Air Base,25.0268,55.3662
AE,Ra's al Khaymah,United Arab Emirates (UAE),阿拉伯聯合大公國,RHR,Al Hamra Seaplane Base,25.691,55.778
AE,Ra's al Khaymah,United Arab Emirates (UAE),阿拉伯聯合大公國,RKT,Ras Al Khaimah International ,25.6135,55.9388
AF,Badakhshan,Afghanistan,阿富汗,DAZ,Darwaz ,38.4611,70.8825
AF,Badakhshan,Afghanistan,阿富汗,FBD,Fayzabad ,37.1211,70.5181
AF,Badakhshan,Afghanistan,阿富汗,KUR,Razer ,37.752,-89.0154
AF,Badakhshan,Afghanistan,阿富汗,KWH,Khwahan ,37.883,70.217
AF,Badakhshan,Afghanistan,阿富汗,SGA,Sheghnan ,37.567,71.5
AF,Badghis,Afghanistan,阿富汗,LQN,Qala i Naw ,34.985,63.1178
AF,Balkh,Afghanistan,阿富汗,MZR,Mazar-e Sharif International ,36.7069,67.2097
AF,Bamyan,Afghanistan,阿富汗,BIN,Bamyan ,34.817,67.817
AF,Farah,Afghanistan,阿富汗,FAH,Farah ,32.367,62.183
AF,Faryab,Afghanistan,阿富汗,MMZ,Maymana ,35.9308,64.7609
AF,Ghazni,Afghanistan,阿富汗,GZI,Ghazni ,33.5312,68.4129
AF,Ghazni,Afghanistan,阿富汗,SBF,Sardeh Band ,33.3207,68.6365
AF,Ghor,Afghanistan,阿富汗,CCN,Chaghcharan ,34.5265,65.271
AF,Helmand,Afghanistan,阿富汗,BST,Bost ,31.5597,64.365
AF,Helmand,Afghanistan,阿富汗,DWR,Dwyer ,31,64
AF,Helmand,Afghanistan,阿富汗,OAZ,Camp Bastion Air Base,31.8638,64.2246
AF,Herat,Afghanistan,阿富汗,HEA,Herat International ,34.21,62.2283
AF,Herat,Afghanistan,阿富汗,OAH,Shindand Air Base,33.3913,62.261
AF,Herat,Afghanistan,阿富汗,ZAJ,Zaranj ,30.9722,61.8658
AF,Kabul,Afghanistan,阿富汗,GRG,Gardez ,33.6315,69.2394
AF,Kabul,Afghanistan,阿富汗,KBL,Kabul International ,34.5658,69.2131
AF,Kandahar,Afghanistan,阿富汗,KDH,Kandahar International ,31.5058,65.8478
AF,Kandahar,Afghanistan,阿富汗,TII,Tarinkot ,32.6042,65.8658
AF,Kandahar,Afghanistan,阿富汗,URZ,Uruzgan ,32.903,66.6309
AF,Khost,Afghanistan,阿富汗,KHT,Khost Airfield,33.3334,69.952
AF,Khost,Afghanistan,阿富汗,OLR,Forward Operating Base Salerno,33.3638,69.9561
AF,Kunduz,Afghanistan,阿富汗,UND,Kunduz ,36.6651,68.9108
AF,Logar,Afghanistan,阿富汗,OAA,Forward Operating Base Shank,33.9225,69.0772
AF,Nangarhar,Afghanistan,阿富汗,JAA,Jalalabad ,34.3998,70.4986
AF,Paktika,Afghanistan,阿富汗,OAS,Sharana Airstrip / Forward Operating Base Sharana,33.1258,68.8385
AF,Paktika,Afghanistan,阿富汗,URN,Urgun ,32.9318,69.1563
AF,Parwan,Afghanistan,阿富汗,OAI,Bagram Airfield,34.9461,69.265
AF,Takhar,Afghanistan,阿富汗,TQN,Taloqan ,36.7707,69.532
AG,Barbuda,Antigua and Barbuda,安地卡及巴布達,BBQ,Barbuda Codrington ,17.6358,-61.8286
AG,Saint George,Antigua and Barbuda,安地卡及巴布達,ANU,V. C. Bird International ,17.1367,-61.7927
AI,Anguilla,Anguilla,安圭拉,AXA,Clayton J. Lloyd International ,18.2048,-63.0551
AM,Erevan,Armenia,亞美尼亞,EVN,Zvartnots International ,40.1473,44.3959
AM,Sirak,Armenia,亞美尼亞,LWN,Gyumri Shirak ,40.7504,43.8593
AO,Bengo,Angola,安哥拉,AZZ,Ambriz ,-7.86222,13.1161
AO,Bengo,Angola,安哥拉,NBJ,Luanda Dr. Antonio Agostinho Neto Angola International ,-9.0491,13.5000
AO,Benguela,Angola,安哥拉,BUG,Benguela  (Gen. V. Deslandes ),-12.609,13.4037
AO,Benguela,Angola,安哥拉,CBT,Catumbela ,-12.4792,13.4869
AO,Benguela,Angola,安哥拉,LLT,Lobito ,-12.3757,13.561
AO,Bie,Angola,安哥拉,ANL,Andulo ,-11.4723,16.7109
AO,Bie,Angola,安哥拉,SVP,Kuito ,-12.4046,16.9474
AO,Cabinda,Angola,安哥拉,CAB,Cabinda ,-5.59699,12.1884
AO,Cunene,Angola,安哥拉,VPE,Ondjiva Pereira ,-17.0435,15.6838
AO,Cunene,Angola,安哥拉,XGN,Xangongo ,-16.7554,14.9653
AO,Huambo,Angola,安哥拉,NOV,Albano Machado ,-12.8089,15.7605
AO,Huila,Angola,安哥拉,JMB,Jamba ,-14.6982,16.0701
AO,Huila,Angola,安哥拉,SDD,Lubango Mukanka ,-14.9247,13.575
AO,Kuando Kubango,Angola,安哥拉,CTI,Cuito Cuanavale ,-15.1603,19.1561
AO,Kuando Kubango,Angola,安哥拉,DRC,Dirico ,-17.9819,20.7681
AO,Kuando Kubango,Angola,安哥拉,SPP,Menongue ,-14.6576,17.7198
AO,Kwanza Norte,Angola,安哥拉,NDF,N'dalatando ,-9.27519,14.9772
AO,Kwanza Sul,Angola,安哥拉,CEO,Waco Kungo ,-11.4264,15.1014
AO,Kwanza Sul,Angola,安哥拉,NDD,Sumbe ,-11.1679,13.8475
AO,Kwanza Sul,Angola,安哥拉,PBN,Porto Amboim ,-10.722,13.7655
AO,Luanda,Angola,安哥拉,LAD,Quatro de Fevereiro ,-8.85837,13.2312
AO,Lunda Norte,Angola,安哥拉,CFF,Cafunfo ,-8.78361,17.9897
AO,Lunda Norte,Angola,安哥拉,DUE,Dundo ,-7.40089,20.8185
AO,Lunda Norte,Angola,安哥拉,LBZ,Lucapa ,-8.44573,20.7321
AO,Lunda Norte,Angola,安哥拉,LZM,Cuango-Luzamba ,-9.11596,18.0493
